doc_id,Gender,predictions,GT_score,Gender
1,male,0.99278,0.99278,male
2,male,0.88359,0.88359,male
4,female,0.82043,0.82043,female
3,male,0.8233,0.8233,male
5,female,0.81809,0.81809,female
9,female,0.81011,0.81011,female
6,male,0.81776,0.81776,male
13,female,0.77067,0.77067,female
7,male,0.81532,0.81532,male
14,female,0.76416,0.76416,female
15,female,0.7622,0.7622,female
8,male,0.81149,0.81149,male
16,female,0.75565,0.75565,female
10,male,0.79476,0.79476,male
17,female,0.75288,0.75288,female
18,female,0.75183,0.75183,female
11,male,0.77635,0.77635,male
19,female,0.74643,0.74643,female
12,male,0.77516,0.77516,male
20,female,0.74255,0.74255,female
23,female,0.71607,0.71607,female
21,male,0.74217,0.74217,male
24,female,0.71487,0.71487,female
22,male,0.72338,0.72338,male
26,female,0.69642,0.69642,female
28,female,0.6947,0.6947,female
25,male,0.70545,0.70545,male
29,female,0.68839,0.68839,female
27,male,0.69632,0.69632,male
30,female,0.68189,0.68189,female
34,female,0.65248,0.65248,female
31,male,0.67242,0.67242,male
35,female,0.64966,0.64966,female
32,male,0.66735,0.66735,male
40,female,0.59225,0.59225,female
42,female,0.52751,0.52751,female
33,male,0.65994,0.65994,male
45,female,0.48477,0.48477,female
36,male,0.63919,0.63919,male
46,female,0.4634,0.4634,female
47,female,0.44184,0.44184,female
37,male,0.63695,0.63695,male
48,female,0.41865,0.41865,female
38,male,0.63288,0.63288,male
39,male,0.6042,0.6042,male
41,male,0.54998,0.54998,male
43,male,0.52527,0.52527,male
44,male,0.52187,0.52187,male
49,male,0.32046,0.32046,male
50,male,0.18951,0.18951,male
