doc_id,Gender,score
1,male,0.96104
2,male,0.89143
3,male,0.87575
4,male,0.86705
5,male,0.86298
6,male,0.84438
7,male,0.82584
8,male,0.8168
9,female,0.81011
10,male,0.80203
11,male,0.79481
12,female,0.79079
13,male,0.78668
14,male,0.78611
15,male,0.78472
16,male,0.77028
17,male,0.76407
18,female,0.75953
19,female,0.74915
20,female,0.74494
21,male,0.74437
22,female,0.73849
23,female,0.73443
24,female,0.72114
25,male,0.71526
26,female,0.71449
27,female,0.71095
28,female,0.70933
29,male,0.69776
30,male,0.68738
31,female,0.68189
32,female,0.68074
33,male,0.67777
34,female,0.66314
35,female,0.66195
36,female,0.63589
37,female,0.62442
38,female,0.62222
39,female,0.61964
40,male,0.60425
41,female,0.58197
42,male,0.57977
43,male,0.57709
44,female,0.5736
45,female,0.57049
46,female,0.54453
47,male,0.53005
48,female,0.44787
49,male,0.41311
50,female,0.3643
