doc_id,D,sex,score_x,score_y
1,1,male,0.96964,0.96964
2,2,male,0.86528,0.86528
11,11,male,0.79232,0.79232
3,3,male,0.86375,0.86375
12,12,female,0.78969,0.78969
4,4,male,0.856,0.856
14,14,female,0.78276,0.78276
5,5,female,0.85385,0.85385
17,17,female,0.77028,0.77028
6,6,male,0.84008,0.84008
19,19,female,0.75522,0.75522
7,7,male,0.83951,0.83951
21,21,male,0.7535,0.7535
8,8,male,0.83368,0.83368
23,23,male,0.7514,0.7514
9,9,male,0.81044,0.81044
25,25,female,0.74877,0.74877
10,10,male,0.79658,0.79658
26,26,male,0.74083,0.74083
13,13,male,0.7862,0.7862
15,15,male,0.77368,0.77368
16,16,female,0.77239,0.77239
18,18,male,0.76933,0.76933
20,20,female,0.75494,0.75494
22,22,female,0.7514,0.7514
24,24,female,0.74982,0.74982
27,27,female,0.73624,0.73624
28,28,male,0.72807,0.72807
29,29,male,0.72683,0.72683
30,30,male,0.72668,0.72668
31,31,female,0.72649,0.72649
32,32,female,0.71812,0.71812
33,33,male,0.71745,0.71745
34,34,female,0.69236,0.69236
35,35,female,0.68839,0.68839
36,36,female,0.68791,0.68791
37,37,female,0.68581,0.68581
38,38,male,0.66515,0.66515
39,39,male,0.65736,0.65736
40,40,female,0.65344,0.65344
41,41,female,0.63833,0.63833
42,42,female,0.61897,0.61897
43,43,female,0.60855,0.60855
44,44,male,0.58536,0.58536
45,45,male,0.58397,0.58397
46,46,female,0.56117,0.56117
47,47,female,0.49792,0.49792
48,48,female,0.40441,0.40441
49,49,male,0.34933,0.34933
50,50,female,0.34847,0.34847
