doc_id,Gender,predictions,GT_score,Gender
151,male,0.91715,0.91715,male
408,male,0.89339,0.89339,male
3931,female,0.80843,0.80843,female
501,male,0.88794,0.88794,male
4563,female,0.79935,0.79935,female
6558,female,0.77468,0.77468,female
658,male,0.88038,0.88038,male
7522,female,0.76407,0.76407,female
714,male,0.87761,0.87761,male
8413,female,0.7546,0.7546,female
9113,female,0.74729,0.74729,female
1197,male,0.86097,0.86097,male
9440,female,0.74384,0.74384,female
1295,male,0.85878,0.85878,male
9503,female,0.74327,0.74327,female
9731,female,0.74098,0.74098,female
1481,male,0.85471,0.85471,male
10433,female,0.73371,0.73371,female
1700,male,0.84883,0.84883,male
10619,female,0.73175,0.73175,female
11521,female,0.72334,0.72334,female
2021,male,0.84137,0.84137,male
12286,female,0.71626,0.71626,female
2837,male,0.8266,0.8266,male
12717,female,0.712,0.712,female
13086,female,0.70861,0.70861,female
3615,male,0.81312,0.81312,male
13510,female,0.70421,0.70421,female
3731,male,0.81168,0.81168,male
13702,female,0.70249,0.70249,female
14165,female,0.69804,0.69804,female
3771,male,0.81106,0.81106,male
15102,female,0.68872,0.68872,female
4420,male,0.80117,0.80117,male
15841,female,0.68064,0.68064,female
15990,female,0.67844,0.67844,female
4875,male,0.79495,0.79495,male
16076,female,0.67734,0.67734,female
5061,male,0.79266,0.79266,male
16257,female,0.67471,0.67471,female
16442,female,0.67223,0.67223,female
5783,male,0.78314,0.78314,male
17073,female,0.66358,0.66358,female
6440,male,0.77602,0.77602,male
17210,female,0.66142,0.66142,female
17266,female,0.66071,0.66071,female
6722,male,0.77296,0.77296,male
17452,female,0.65774,0.65774,female
7331,male,0.76593,0.76593,male
17487,female,0.65722,0.65722,female
17788,female,0.65296,0.65296,female
7560,male,0.76373,0.76373,male
18240,female,0.64651,0.64651,female
7758,male,0.76163,0.76163,male
18727,female,0.63848,0.63848,female
18889,female,0.63604,0.63604,female
8039,male,0.75843,0.75843,male
20236,female,0.6128,0.6128,female
8323,male,0.75546,0.75546,male
20516,female,0.60721,0.60721,female
20904,female,0.59956,0.59956,female
8446,male,0.75417,0.75417,male
20949,female,0.59865,0.59865,female
8847,male,0.75006,0.75006,male
21527,female,0.58498,0.58498,female
21637,female,0.58249,0.58249,female
10441,male,0.73366,0.73366,male
22182,female,0.56834,0.56834,female
10502,male,0.73294,0.73294,male
22248,female,0.56662,0.56662,female
23471,female,0.52794,0.52794,female
10630,male,0.73165,0.73165,male
23948,female,0.51073,0.51073,female
11314,male,0.72539,0.72539,male
23956,female,0.51049,0.51049,female
24075,female,0.50543,0.50543,female
11968,male,0.71889,0.71889,male
24185,female,0.50041,0.50041,female
12053,male,0.71817,0.71817,male
24706,female,0.47402,0.47402,female
25677,female,0.40962,0.40962,female
13067,male,0.7088,0.7088,male
26251,female,0.34403,0.34403,female
14411,male,0.69561,0.69561,male
26319,female,0.33222,0.33222,female
14444,male,0.69527,0.69527,male
16633,male,0.66969,0.66969,male
17501,male,0.65707,0.65707,male
17719,male,0.65382,0.65382,male
18435,male,0.64335,0.64335,male
18613,male,0.64058,0.64058,male
20782,male,0.60209,0.60209,male
21935,male,0.57532,0.57532,male
22240,male,0.56676,0.56676,male
23539,male,0.52565,0.52565,male
24798,male,0.4689,0.4689,male
25301,male,0.4373,0.4373,male
25547,male,0.42004,0.42004,male
25798,male,0.39733,0.39733,male
26215,male,0.349,0.349,male
