doc_id,Gender,score
527,male,0.88655
1134,male,0.86231
4525,male,0.80002
4914,female,0.79457
5270,male,0.78979
6816,male,0.77191
7454,male,0.76469
7666,male,0.76254
8548,male,0.75312
10535,female,0.73261
12230,female,0.71679
13863,male,0.70087
14178,male,0.6979
15341,male,0.68633
16163,female,0.6762
16388,male,0.67285
18118,female,0.64832
18299,male,0.64536
18816,female,0.63704
18947,female,0.63508
19271,female,0.6304
19487,female,0.62667
20110,female,0.61538
21991,female,0.57374
22523,male,0.55787
23824,female,0.51575
24258,female,0.49673
24575,female,0.48018
25231,male,0.4417
26040,female,0.37013
