,doc_id,Gender,predictions,GT_score,Gender.1
0,81,male,0.93278,0.93278,male
1,482,male,0.88918,0.88918,male
2,1130,male,0.8625,0.8625,male
3,1868,male,0.84448,0.84448,male
4,2118,male,0.83922,0.83922,male
5,3029,male,0.82335,0.82335,male
6,4554,male,0.79949,0.79949,male
7,4965,male,0.79395,0.79395,male
8,5312,female,0.78917,0.78917,female
9,6746,male,0.77263,0.77263,male
10,6831,male,0.77172,0.77172,male
11,7132,female,0.76842,0.76842,female
12,7901,male,0.75996,0.75996,male
13,8522,male,0.75336,0.75336,male
14,8685,male,0.75173,0.75173,male
15,8686,male,0.75173,0.75173,male
16,9440,female,0.74384,0.74384,female
17,10013,female,0.73811,0.73811,female
18,10071,female,0.7373,0.7373,female
19,10885,female,0.72917,0.72917,female
20,11106,male,0.72726,0.72726,male
21,11253,female,0.72596,0.72596,female
22,12237,female,0.71669,0.71669,female
23,12469,male,0.71459,0.71459,male
24,12681,female,0.71239,0.71239,female
25,12902,female,0.71038,0.71038,female
26,15149,female,0.68829,0.68829,female
27,15794,female,0.68126,0.68126,female
28,15958,male,0.67902,0.67902,male
29,16466,female,0.67199,0.67199,female
30,16489,male,0.6717,0.6717,male
31,17075,male,0.66353,0.66353,male
32,17217,female,0.66138,0.66138,female
33,17582,female,0.65593,0.65593,female
34,18006,female,0.64995,0.64995,female
35,18288,male,0.6455,0.6455,male
36,19164,female,0.63193,0.63193,female
37,19751,male,0.62193,0.62193,male
38,19791,female,0.62117,0.62117,female
39,19886,male,0.61959,0.61959,male
40,20086,female,0.61596,0.61596,female
41,21384,male,0.58852,0.58852,male
42,21839,female,0.57776,0.57776,female
43,23164,male,0.53889,0.53889,male
44,23290,female,0.53416,0.53416,female
45,23714,female,0.51939,0.51939,female
46,23760,female,0.51786,0.51786,female
47,24409,male,0.4897,0.4897,male
48,25319,female,0.4363,0.4363,female
49,26070,female,0.36607,0.36607,female
