doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,3.0,36.0,3.25,3.25,male
2,male,4.0,44.0,3.17,3.17,male
3,male,2.8,40.0,3.11,3.11,male
4,female,4.0,36.0,2.93,2.93,female
5,female,2.8,33.0,2.79,2.79,female
6,female,3.4,37.0,2.71,2.71,female
7,male,2.9,39.0,2.7,2.7,male
8,male,3.4,47.0,2.67,2.67,male
9,male,3.0,44.0,2.61,2.61,male
10,female,2.3,37.0,2.6,2.6,female
11,male,3.0,43.0,2.59,2.59,male
12,female,3.5,38.0,2.54,2.54,female
13,male,3.6,44.0,2.5,2.5,male
14,male,3.7,43.0,2.5,2.5,male
18,female,3.6,43.0,2.45,2.45,female
15,male,2.8,39.0,2.49,2.49,male
22,female,3.5,40.0,2.43,2.43,female
16,male,3.5,37.0,2.48,2.48,male
17,male,3.5,37.0,2.46,2.46,male
20,female,2.6,35.0,2.43,2.43,female
19,male,3.9,39.0,2.43,2.43,male
23,female,3.3,36.0,2.42,2.42,female
21,male,3.7,43.0,2.43,2.43,male
24,female,3.5,48.0,2.41,2.41,female
26,male,3.1,42.0,2.39,2.39,male
28,female,2.8,35.0,2.36,2.36,female
27,male,3.7,47.0,2.39,2.39,male
25,male,3.4,39.0,2.39,2.39,male
29,female,3.7,47.0,2.36,2.36,female
30,male,3.5,39.0,2.36,2.36,male
31,female,3.0,38.0,2.35,2.35,female
32,male,3.7,42.5,2.34,2.34,male
34,female,3.9,34.0,2.32,2.32,female
33,male,3.4,38.0,2.34,2.34,male
35,female,3.0,33.0,2.3,2.3,female
36,male,4.0,41.0,2.3,2.3,male
37,male,2.7,39.0,2.26,2.26,male
39,female,3.4,39.0,2.24,2.24,female
38,male,3.1,32.5,2.26,2.26,male
40,female,3.7,47.0,2.23,2.23,female
42,female,3.8,42.0,2.23,2.23,female
41,male,3.6,33.0,2.23,2.23,male
43,female,3.9,37.0,2.22,2.22,female
44,female,3.3,44.0,2.22,2.22,female
46,male,3.4,36.0,2.21,2.21,male
45,female,4.1,36.0,2.21,2.21,female
47,male,2.8,37.0,2.19,2.19,male
48,male,3.3,48.0,2.18,2.18,male
49,male,3.5,40.0,2.17,2.17,male
52,female,3.8,44.0,2.16,2.16,female
50,male,3.1,36.0,2.16,2.16,male
51,male,2.4,38.0,2.16,2.16,male
53,male,3.3,33.0,2.15,2.15,male
55,female,2.9,40.0,2.13,2.13,female
54,male,3.1,37.0,2.14,2.14,male
57,female,4.0,36.0,2.12,2.12,female
56,male,3.1,30.0,2.12,2.12,male
59,female,3.5,36.0,2.09,2.09,female
58,male,3.7,44.0,2.12,2.12,male
61,female,3.5,45.0,2.09,2.09,female
63,female,3.4,45.0,2.09,2.09,female
60,male,3.2,40.5,2.09,2.09,male
62,male,2.7,37.0,2.09,2.09,male
64,male,4.0,42.0,2.08,2.08,male
70,female,3.1,39.0,2.04,2.04,female
65,male,3.1,42.0,2.08,2.08,male
74,female,3.1,32.0,2.02,2.02,female
66,male,2.9,41.0,2.07,2.07,male
67,male,3.6,32.0,2.07,2.07,male
78,female,2.8,35.0,2.02,2.02,female
68,male,2.9,41.0,2.07,2.07,male
79,female,2.7,36.0,2.01,2.01,female
69,male,2.6,32.5,2.05,2.05,male
80,female,4.0,43.0,2.0,2.0,female
71,male,3.1,46.0,2.03,2.03,male
84,female,3.2,40.0,1.99,1.99,female
73,male,2.9,39.0,2.03,2.03,male
72,male,3.5,36.0,2.03,2.03,male
89,female,3.5,39.0,1.96,1.96,female
76,male,3.7,38.0,2.02,2.02,male
86,female,3.4,34.5,1.96,1.96,female
77,male,3.7,48.0,2.02,2.02,male
87,female,3.7,45.0,1.96,1.96,female
75,male,4.0,42.0,2.02,2.02,male
91,female,4.0,42.0,1.95,1.95,female
81,male,3.1,37.0,2.0,2.0,male
82,male,2.8,32.5,1.99,1.99,male
93,female,3.1,40.0,1.94,1.94,female
83,male,3.9,36.0,1.99,1.99,male
96,female,3.4,41.0,1.93,1.93,female
85,male,3.3,42.0,1.98,1.98,male
100,female,3.5,32.0,1.91,1.91,female
88,male,3.5,40.0,1.96,1.96,male
104,female,2.8,37.5,1.9,1.9,female
90,male,3.3,40.5,1.95,1.95,male
92,male,3.4,42.0,1.94,1.94,male
105,female,3.5,41.0,1.9,1.9,female
94,male,3.2,37.0,1.93,1.93,male
103,female,3.6,39.0,1.9,1.9,female
95,male,2.2,38.0,1.93,1.93,male
113,female,2.7,33.0,1.88,1.88,female
97,male,3.0,37.0,1.92,1.92,male
98,male,2.5,34.0,1.91,1.91,male
114,female,3.5,47.0,1.88,1.88,female
99,male,2.6,22.0,1.91,1.91,male
116,female,2.6,32.0,1.88,1.88,female
101,male,3.8,36.0,1.91,1.91,male
118,female,2.8,42.0,1.88,1.88,female
102,male,3.6,41.0,1.91,1.91,male
119,female,3.2,39.0,1.87,1.87,female
107,male,2.7,37.0,1.89,1.89,male
108,male,2.7,31.0,1.89,1.89,male
121,female,3.3,42.0,1.86,1.86,female
109,male,3.9,48.0,1.89,1.89,male
120,female,3.8,44.0,1.86,1.86,female
106,male,2.9,43.0,1.89,1.89,male
132,female,3.8,46.0,1.83,1.83,female
110,male,3.3,41.0,1.88,1.88,male
135,female,4.0,47.0,1.83,1.83,female
111,male,3.0,35.5,1.88,1.88,male
112,male,3.5,37.0,1.88,1.88,male
134,female,3.5,39.0,1.83,1.83,female
115,male,3.4,42.0,1.88,1.88,male
133,female,3.6,46.0,1.83,1.83,female
117,male,2.5,39.0,1.88,1.88,male
130,female,3.9,32.0,1.83,1.83,female
122,male,3.7,38.0,1.86,1.86,male
124,male,3.2,41.0,1.85,1.85,male
129,female,3.3,33.0,1.83,1.83,female
125,male,2.6,35.0,1.85,1.85,male
128,female,3.6,45.0,1.83,1.83,female
123,male,3.4,43.0,1.85,1.85,male
139,female,3.5,37.0,1.82,1.82,female
126,male,3.7,48.0,1.84,1.84,male
142,female,3.2,41.0,1.81,1.81,female
127,male,3.5,39.0,1.84,1.84,male
131,male,3.3,34.0,1.83,1.83,male
143,female,3.9,45.0,1.81,1.81,female
141,male,2.2,39.0,1.82,1.82,male
145,female,3.8,35.0,1.79,1.79,female
140,male,3.0,26.7,1.82,1.82,male
156,female,3.9,46.0,1.76,1.76,female
138,male,3.7,48.0,1.82,1.82,male
155,female,2.7,34.0,1.76,1.76,female
136,male,3.5,45.0,1.82,1.82,male
137,male,3.2,29.0,1.82,1.82,male
154,female,3.0,40.0,1.76,1.76,female
144,male,2.7,33.0,1.79,1.79,male
153,female,3.3,30.5,1.76,1.76,female
146,male,3.4,44.0,1.79,1.79,male
160,female,3.9,42.0,1.75,1.75,female
147,male,3.3,37.0,1.78,1.78,male
161,female,3.4,42.0,1.75,1.75,female
148,male,2.8,35.5,1.78,1.78,male
149,male,3.5,43.0,1.77,1.77,male
165,female,3.7,39.0,1.74,1.74,female
150,male,4.0,39.0,1.77,1.77,male
166,female,3.3,36.0,1.74,1.74,female
151,male,3.3,41.0,1.77,1.77,male
167,female,3.8,46.0,1.74,1.74,female
152,male,3.3,41.0,1.77,1.77,male
159,male,3.3,29.0,1.76,1.76,male
170,female,3.7,47.0,1.73,1.73,female
158,male,3.5,44.0,1.76,1.76,male
171,female,3.3,36.0,1.72,1.72,female
157,male,3.6,40.0,1.76,1.76,male
173,female,3.2,44.0,1.71,1.71,female
162,male,3.0,40.0,1.75,1.75,male
177,female,4.0,40.0,1.71,1.71,female
163,male,3.0,35.0,1.74,1.74,male
164,male,3.4,43.0,1.74,1.74,male
178,female,3.9,44.0,1.71,1.71,female
168,male,3.2,40.0,1.73,1.73,male
183,female,3.5,42.0,1.7,1.7,female
169,male,3.1,34.0,1.73,1.73,male
180,female,3.1,42.0,1.7,1.7,female
172,male,3.0,37.0,1.72,1.72,male
190,female,3.2,36.0,1.69,1.69,female
174,male,3.3,41.0,1.71,1.71,male
175,male,3.1,41.0,1.71,1.71,male
191,female,3.5,42.0,1.69,1.69,female
176,male,4.0,45.0,1.71,1.71,male
189,female,3.9,37.0,1.69,1.69,female
186,male,3.3,44.0,1.7,1.7,male
195,female,3.7,38.0,1.68,1.68,female
185,male,3.0,46.0,1.7,1.7,male
197,female,3.1,38.0,1.67,1.67,female
184,male,3.3,40.0,1.7,1.7,male
181,male,3.0,39.0,1.7,1.7,male
210,female,4.0,42.0,1.66,1.66,female
182,male,3.2,35.0,1.7,1.7,male
205,female,3.1,41.0,1.66,1.66,female
179,male,3.0,40.0,1.7,1.7,male
207,female,3.6,39.0,1.66,1.66,female
192,male,2.6,36.0,1.69,1.69,male
188,male,3.7,38.0,1.69,1.69,male
206,female,2.8,47.0,1.66,1.66,female
187,male,2.3,35.0,1.69,1.69,male
202,female,3.7,36.0,1.66,1.66,female
193,male,4.0,32.0,1.68,1.68,male
204,female,3.9,39.0,1.66,1.66,female
194,male,3.6,39.0,1.68,1.68,male
211,female,2.7,41.0,1.65,1.65,female
196,male,3.4,37.5,1.68,1.68,male
198,male,3.1,35.0,1.67,1.67,male
212,female,3.5,40.0,1.65,1.65,female
199,male,2.9,39.0,1.67,1.67,male
213,female,3.8,38.0,1.65,1.65,female
200,male,3.6,41.0,1.67,1.67,male
218,female,3.5,32.0,1.64,1.64,female
209,male,3.8,41.0,1.66,1.66,male
219,female,3.4,31.0,1.64,1.64,female
208,male,3.0,41.0,1.66,1.66,male
201,male,3.0,41.0,1.66,1.66,male
223,female,3.1,37.0,1.63,1.63,female
203,male,2.3,42.0,1.66,1.66,male
224,female,3.7,34.0,1.63,1.63,female
214,male,2.8,40.0,1.64,1.64,male
226,female,3.3,40.0,1.62,1.62,female
216,male,3.9,43.0,1.64,1.64,male
227,female,3.7,44.0,1.62,1.62,female
217,male,3.4,42.0,1.64,1.64,male
220,male,4.0,42.0,1.64,1.64,male
228,female,3.5,45.0,1.62,1.62,female
221,male,3.3,47.0,1.64,1.64,male
229,female,3.4,39.0,1.62,1.62,female
222,male,4.0,48.0,1.64,1.64,male
232,female,3.0,44.0,1.61,1.61,female
215,male,3.4,45.0,1.64,1.64,male
225,male,2.6,27.0,1.63,1.63,male
236,female,3.1,46.0,1.61,1.61,female
230,male,3.3,43.0,1.62,1.62,male
243,female,3.3,42.0,1.6,1.6,female
231,male,3.0,38.0,1.62,1.62,male
241,female,3.2,38.0,1.6,1.6,female
233,male,3.5,39.0,1.61,1.61,male
240,female,3.8,37.0,1.6,1.6,female
234,male,3.2,42.0,1.61,1.61,male
235,male,3.6,39.0,1.61,1.61,male
238,female,3.8,44.0,1.6,1.6,female
244,male,3.7,43.0,1.6,1.6,male
246,female,2.6,39.0,1.59,1.59,female
242,male,3.8,44.0,1.6,1.6,male
250,female,3.7,46.0,1.58,1.58,female
239,male,3.8,38.0,1.6,1.6,male
252,female,3.6,36.0,1.58,1.58,female
237,male,3.6,35.0,1.6,1.6,male
245,male,3.7,40.0,1.59,1.59,male
256,female,3.8,41.0,1.57,1.57,female
247,male,2.9,36.0,1.59,1.59,male
259,female,3.8,41.0,1.57,1.57,female
248,male,3.1,45.0,1.58,1.58,male
254,female,3.1,48.0,1.57,1.57,female
249,male,3.1,39.0,1.58,1.58,male
251,male,3.2,40.0,1.58,1.58,male
260,female,3.7,43.0,1.56,1.56,female
258,male,3.3,44.0,1.57,1.57,male
262,female,3.8,42.0,1.56,1.56,female
257,male,3.8,45.0,1.57,1.57,male
263,female,3.5,33.5,1.56,1.56,female
255,male,3.6,40.0,1.57,1.57,male
264,female,3.9,45.0,1.56,1.56,female
253,male,3.6,43.0,1.57,1.57,male
261,male,3.4,36.0,1.56,1.56,male
265,female,3.0,35.0,1.55,1.55,female
266,female,3.4,40.0,1.55,1.55,female
267,female,3.5,34.0,1.55,1.55,female
269,male,3.8,42.5,1.55,1.55,male
268,female,3.6,41.0,1.55,1.55,female
271,male,2.7,41.0,1.55,1.55,male
270,female,3.8,41.0,1.55,1.55,female
276,male,3.6,44.0,1.54,1.54,male
273,male,3.7,41.0,1.54,1.54,male
278,female,3.6,36.0,1.54,1.54,female
275,male,3.6,30.5,1.54,1.54,male
277,female,3.5,34.0,1.54,1.54,female
272,male,2.9,41.0,1.54,1.54,male
274,male,3.0,34.0,1.54,1.54,male
279,female,3.4,44.0,1.53,1.53,female
281,male,3.1,38.0,1.53,1.53,male
283,female,2.8,36.0,1.53,1.53,female
282,male,3.3,41.0,1.53,1.53,male
284,male,3.0,38.0,1.53,1.53,male
280,male,3.7,32.0,1.53,1.53,male
287,female,3.4,30.0,1.52,1.52,female
285,male,3.1,33.0,1.52,1.52,male
296,female,4.0,43.0,1.51,1.51,female
286,male,2.6,39.5,1.52,1.52,male
288,male,3.3,41.0,1.52,1.52,male
293,female,3.8,43.0,1.51,1.51,female
289,male,3.9,38.0,1.52,1.52,male
298,female,3.6,42.0,1.5,1.5,female
290,male,3.8,40.0,1.52,1.52,male
302,female,3.8,33.0,1.5,1.5,female
294,male,3.4,35.0,1.51,1.51,male
309,female,3.5,32.0,1.49,1.49,female
295,male,2.9,40.0,1.51,1.51,male
292,male,2.8,37.0,1.51,1.51,male
308,female,2.8,28.5,1.49,1.49,female
291,male,3.0,43.0,1.51,1.51,male
303,female,3.3,40.0,1.49,1.49,female
297,male,3.7,41.0,1.5,1.5,male
306,female,3.1,36.0,1.49,1.49,female
299,male,4.0,42.0,1.5,1.5,male
304,female,3.0,26.0,1.49,1.49,female
300,male,3.2,34.0,1.5,1.5,male
301,male,3.3,27.0,1.5,1.5,male
314,female,3.3,41.0,1.48,1.48,female
307,male,2.7,35.0,1.49,1.49,male
310,female,3.3,29.0,1.48,1.48,female
305,male,3.5,40.0,1.49,1.49,male
316,female,3.9,42.0,1.47,1.47,female
313,male,3.9,42.0,1.48,1.48,male
317,female,3.0,40.0,1.47,1.47,female
312,male,3.6,47.0,1.48,1.48,male
311,male,3.3,40.0,1.48,1.48,male
325,female,3.6,37.0,1.45,1.45,female
315,male,3.4,35.0,1.47,1.47,male
327,female,3.7,31.0,1.45,1.45,female
318,male,3.1,32.5,1.46,1.46,male
328,female,3.4,44.0,1.45,1.45,female
319,male,3.2,41.0,1.46,1.46,male
320,male,3.0,36.0,1.46,1.46,male
322,female,3.5,44.0,1.45,1.45,female
326,male,3.1,34.0,1.45,1.45,male
334,female,3.8,41.0,1.44,1.44,female
324,male,3.1,42.0,1.45,1.45,male
336,female,3.9,41.0,1.43,1.43,female
323,male,2.9,30.0,1.45,1.45,male
341,female,3.8,48.0,1.43,1.43,female
321,male,3.4,42.0,1.45,1.45,male
332,male,2.6,32.0,1.44,1.44,male
347,female,2.8,42.0,1.42,1.42,female
333,male,4.0,44.0,1.44,1.44,male
346,female,3.8,34.0,1.42,1.42,female
331,male,3.5,39.0,1.44,1.44,male
342,female,2.8,39.0,1.42,1.42,female
330,male,3.2,35.0,1.44,1.44,male
353,female,3.6,39.0,1.41,1.41,female
329,male,2.8,42.0,1.44,1.44,male
335,male,2.7,39.0,1.43,1.43,male
354,female,3.5,39.0,1.41,1.41,female
337,male,3.6,40.0,1.43,1.43,male
356,female,3.7,37.0,1.4,1.4,female
338,male,3.5,37.0,1.43,1.43,male
358,female,3.8,39.0,1.4,1.4,female
339,male,3.8,41.0,1.43,1.43,male
361,female,3.5,38.0,1.4,1.4,female
340,male,3.8,41.0,1.43,1.43,male
349,male,3.5,42.0,1.42,1.42,male
365,female,3.7,47.0,1.39,1.39,female
350,male,2.7,39.0,1.42,1.42,male
363,female,3.6,40.0,1.39,1.39,female
348,male,2.8,45.0,1.42,1.42,male
376,female,3.8,38.0,1.38,1.38,female
344,male,3.9,41.0,1.42,1.42,male
345,male,3.1,42.0,1.42,1.42,male
375,female,3.1,32.0,1.38,1.38,female
343,male,3.9,39.0,1.42,1.42,male
373,female,3.5,32.0,1.38,1.38,female
351,male,3.2,32.5,1.41,1.41,male
371,female,3.5,37.0,1.38,1.38,female
355,male,3.2,33.0,1.41,1.41,male
