doc_id,Gender,UGPA,LSAT,ZFYA
1,male,3.0,36.0,3.25
2,male,3.5,37.0,2.46
3,male,2.7,37.0,2.09
4,female,3.8,35.0,1.79
5,female,3.8,34.0,1.42
6,male,3.1,44.0,1.4
7,female,3.1,35.0,1.09
8,male,2.9,40.0,1.07
9,female,3.4,44.0,1.07
10,female,3.2,42.0,1.06
11,male,2.9,37.0,1.02
13,female,3.6,39.0,0.96
12,male,3.0,36.0,0.96
14,male,2.2,23.0,0.89
15,female,3.7,42.0,0.78
16,male,3.5,33.0,0.66
17,male,3.0,37.0,0.62
18,male,2.5,35.0,0.43
19,female,2.6,30.0,0.39
20,female,2.2,34.0,0.26
21,female,3.4,41.0,0.2
22,female,3.7,35.5,0.15
23,female,3.2,45.0,0.14
24,male,3.7,31.5,0.08
25,male,2.8,36.5,0.06
26,male,3.1,47.0,-0.03
27,female,3.4,35.0,-0.08
28,female,3.1,40.0,-0.11
29,female,3.5,35.0,-0.13
30,male,3.3,35.5,-0.2
31,female,3.9,38.0,-0.24
32,female,2.8,42.0,-0.35
33,male,2.6,38.0,-0.36
34,male,2.9,35.0,-0.41
35,female,3.2,31.0,-0.51
36,female,2.7,28.0,-0.64
37,male,3.2,27.0,-0.7
38,male,3.8,36.0,-0.77
39,male,3.1,34.0,-0.81
40,male,3.4,39.0,-0.89
41,male,2.6,34.0,-0.9
42,male,2.7,44.0,-1.03
43,female,3.6,26.0,-1.05
44,male,3.4,35.0,-1.27
45,female,3.0,39.5,-1.32
46,female,3.1,29.0,-1.45
47,female,2.8,32.0,-1.53
48,female,3.7,40.0,-1.62
49,male,2.0,38.0,-1.79
50,female,3.0,31.0,-1.8
