doc_id,sex,score,ZFYA
1,male,2.67,2.67
3,female,1.42,1.42
5,female,1.09,1.09
7,female,1.05,1.05
9,female,0.92,0.92
2,male,1.67,1.67
4,female,1.26,1.26
6,male,1.05,1.05
8,female,0.97,0.97
10,male,0.89,0.89
12,female,0.76,0.76
14,male,0.43,0.43
16,male,0.39,0.39
18,female,0.3,0.3
20,female,0.16,0.16
22,male,0.08,0.08
24,male,-0.02,-0.02
26,female,-0.05,-0.05
28,male,-0.08,-0.08
30,female,-0.18,-0.18
32,female,-0.28,-0.28
34,female,-0.39,-0.39
36,male,-0.49,-0.49
38,male,-0.6,-0.6
39,male,-0.62,-0.62
11,male,0.88,0.88
13,male,0.46,0.46
15,male,0.42,0.42
17,female,0.34,0.34
19,male,0.19,0.19
21,female,0.12,0.12
23,male,0.05,0.05
25,female,-0.03,-0.03
27,male,-0.06,-0.06
29,female,-0.15,-0.15
31,male,-0.24,-0.24
33,female,-0.3,-0.3
35,female,-0.48,-0.48
37,female,-0.53,-0.53
40,male,-0.62,-0.62
41,female,-0.63,-0.63
43,female,-0.65,-0.65
45,male,-1.13,-1.13
47,male,-1.33,-1.33
49,male,-1.41,-1.41
42,female,-0.64,-0.64
44,female,-0.84,-0.84
46,male,-1.26,-1.26
48,male,-1.37,-1.37
50,female,-2.16,-2.16
