doc_id,Gender,predictions,GT_score,Gender
1,male,10833,10833,male
2,female,10000,10000,female
3,male,9328,9328,male
5,female,5500,5500,female
6,female,5000,5000,female
8,female,4742,4742,female
4,male,8750,8750,male
9,female,4606,4606,female
10,female,4583,4583,female
12,female,4283,4283,female
14,female,3666,3666,female
7,male,4860,4860,male
15,female,3510,3510,female
16,female,3400,3400,female
11,male,4452,4452,male
13,male,3708,3708,male
17,male,2253,2253,male
18,male,2000,2000,male
19,male,1863,1863,male
20,male,1782,1782,male
