doc_id,Gender,ApplicantIncome
1,male,14583
2,male,8750
3,male,8703
4,male,8000
5,male,7085
6,male,5817
7,male,5128
8,female,5000
9,female,4742
10,female,4606
11,female,4583
12,female,4408
13,female,4283
14,female,4230
15,male,4200
16,female,4180
17,male,3958
18,male,3948
19,male,3900
20,female,3813
21,male,3808
22,male,3785
23,female,3692
24,male,3667
25,female,3666
26,female,3620
27,male,3613
28,male,3596
29,female,3510
30,male,3436
31,female,3400
32,female,3326
33,female,3166
34,female,3166
35,female,2900
36,female,2876
37,male,2787
38,female,2645
39,female,2600
40,male,2439
41,male,2267
42,male,2237
43,female,2213
44,male,2185
45,female,2107
46,male,2058
47,female,2031
48,male,2014
49,male,1977
50,female,1907
