doc_id,Gender,ApplicantIncome
1,male,72529
2,male,18840
3,male,14999
4,male,10833
5,male,7660
6,female,7451
7,male,5677
8,female,4742
9,female,4606
10,female,4583
11,female,4547
12,female,4408
13,male,4310
14,female,4283
15,male,4281
16,female,4230
17,female,4180
18,male,3814
19,female,3813
20,male,3808
21,male,3800
22,male,3727
23,female,3692
24,male,3634
25,female,3620
26,male,3436
27,female,3400
28,male,3399
29,female,3166
30,female,3166
31,male,3074
32,male,2987
33,female,2876
34,male,2755
35,female,2720
36,female,2645
37,female,2600
38,male,2583
39,female,2500
40,female,2366
41,male,2360
42,male,2267
43,male,2237
44,female,2226
45,male,2185
46,female,2107
47,male,2014
48,male,1977
49,female,1937
50,female,1907
