doc_id,Gender,predictions,GT_score,Gender
564,male,16666,16666,male
420,male,14880,14880,male
435,female,7142,7142,female
783,male,10166,10166,male
879,female,5530,5530,female
822,female,5062,5062,female
368,male,9323,9323,male
356,female,4723,4723,female
788,male,7874,7874,male
927,female,4709,4709,female
64,female,4166,4166,female
727,male,7500,7500,male
335,female,4160,4160,female
83,male,6000,6000,male
49,female,4000,4000,female
534,female,3652,3652,female
237,male,5819,5819,male
315,female,3541,3541,female
918,male,5333,5333,male
392,female,3180,3180,female
659,female,2779,2779,female
714,male,4167,4167,male
762,female,2708,2708,female
957,male,4158,4158,male
96,female,2484,2484,female
337,female,2378,2378,female
134,male,4000,4000,male
560,female,2378,2378,female
84,male,3988,3988,male
144,female,2330,2330,female
533,female,2138,2138,female
204,male,3975,3975,male
399,female,1963,1963,female
620,male,3786,3786,male
857,female,1850,1850,female
280,female,1811,1811,female
916,male,3400,3400,male
718,female,1762,1762,female
607,male,3276,3276,male
395,female,1500,1500,female
493,female,645,645,female
274,male,3103,3103,male
462,female,210,210,female
62,male,2609,2609,male
752,male,2463,2463,male
535,male,2239,2239,male
433,male,2213,2213,male
819,male,2166,2166,male
297,male,1800,1800,male
247,male,1668,1668,male
