doc_id,Gender,predictions,GT_score,Gender.1
1,male,26395,26395,male
2,male,10216,10216,male
3,male,10105,10105,male
4,male,8882,8882,male
5,male,8203,8203,male
6,male,6808,6808,male
7,male,5486,5486,male
8,male,5243,5243,male
9,female,4435,4435,female
10,female,4004,4004,female
11,female,3103,3103,female
12,male,2963,2963,male
13,male,2727,2727,male
14,male,2685,2685,male
15,male,2639,2639,male
16,male,2264,2264,male
17,male,2016,2016,male
18,female,1918,1918,female
19,female,1445,1445,female
20,male,1090,1090,male
21,male,1080,1080,male
22,female,1050,1050,female
23,female,1000,1000,female
24,female,676,676,female
25,female,500,500,female
26,male,455,455,male
27,female,382,382,female
28,female,349,349,female
29,female,346,346,female
30,male,301,301,male
31,female,261,261,female
32,male,222,222,male
33,female,163,163,female
34,male,146,146,male
35,female,121,121,female
36,male,103,103,male
37,male,90,90,male
38,female,79,79,female
39,male,78,78,male
41,female,68,68,female
40,female,68,68,female
42,female,49,49,female
43,male,42,42,male
44,female,38,38,female
45,female,35,35,female
46,female,27,27,female
47,female,26,26,female
48,female,16,16,female
49,female,14,14,female
50,male,9,9,male
