doc_id,D,sex,Points,Career Points
1,1,male,38387,38387
3,3,female,7380,7380
5,5,female,4984,4984
7,7,female,3534,3534
2,2,male,8486,8486
8,8,female,2849,2849
9,9,female,2747,2747
4,4,male,5086,5086
12,12,female,1935,1935
17,17,female,1458,1458
6,6,male,4914,4914
20,20,female,794,794
10,10,male,2264,2264
21,21,female,667,667
11,11,male,2199,2199
22,22,female,658,658
13,13,male,1914,1914
14,14,male,1908,1908
24,24,female,561,561
15,15,male,1703,1703
25,25,female,453,453
16,16,male,1578,1578
29,29,female,319,319
18,18,male,1187,1187
31,31,female,309,309
19,19,male,983,983
33,33,female,200,200
23,23,male,598,598
34,34,female,177,177
26,26,male,440,440
35,35,female,175,175
27,27,male,370,370
36,36,female,147,147
28,28,male,329,329
37,37,female,124,124
30,30,male,316,316
39,39,female,98,98
32,32,male,299,299
40,40,female,97,97
38,38,male,108,108
43,43,female,38,38
41,41,male,94,94
44,44,female,30,30
45,45,female,30,30
42,42,male,48,48
46,46,male,27,27
47,47,male,22,22
48,48,female,21,21
49,49,male,12,12
50,50,male,0,0
