doc_id,Gender,Career Points
1,male,26274
2,male,15725
3,male,9002
4,male,6252
5,female,5046
6,male,4789
7,male,2858
8,female,2620
9,male,2323
10,male,2099
11,male,1863
12,female,1408
13,female,1377
14,female,1203
15,male,1150
16,female,1000
17,female,866
18,female,794
19,female,705
20,female,646
21,female,636
22,female,534
23,female,509
24,female,503
25,female,448
26,female,365
27,female,261
28,male,257
29,male,232
30,male,169
31,female,158
32,female,155
33,female,147
34,male,147
35,male,122
36,female,97
37,female,82
38,male,81
39,female,79
40,male,70
41,male,64
42,female,55
43,male,49
44,male,43
45,male,40
46,female,25
47,male,6
48,male,6
49,male,4
50,male,2
