doc_id,Gender,predictions,GT_score,Gender
509,male,17490,17490,male
731,male,14018,14018,male
3796,female,2898,2898,female
914,male,10537,10537,male
3909,female,2603,2603,female
3833,female,1963,1963,female
1482,male,10399,10399,male
3986,female,1358,1358,female
3357,male,9538,9538,male
4007,female,1215,1215,female
4016,female,1010,1010,female
896,male,8953,8953,male
4173,female,620,620,female
1456,male,8384,8384,male
4099,female,558,558,female
4484,female,324,324,female
1047,male,8049,8049,male
4112,female,303,303,female
1218,male,6684,6684,male
4150,female,253,253,female
4222,female,247,247,female
2080,male,5946,5946,male
4174,female,92,92,female
1037,male,5612,5612,male
4680,female,85,85,female
4298,female,74,74,female
2982,male,4637,4637,male
4708,female,73,73,female
3405,male,3013,3013,male
4438,female,50,50,female
4392,female,50,50,female
326,male,2206,2206,male
4648,female,49,49,female
1716,male,932,932,male
4435,female,48,48,female
4454,female,33,33,female
1167,male,856,856,male
4495,female,16,16,female
3252,male,645,645,male
4445,female,14,14,female
4579,female,12,12,female
163,male,641,641,male
4504,female,9,9,female
1017,male,370,370,male
285,male,337,337,male
1296,male,240,240,male
3402,male,233,233,male
1999,male,198,198,male
1214,male,82,82,male
3635,male,23,23,male
