unique_id,Gender,UGPA,LSAT,ZFYA
18642,female,3.4,48.0,2.85
4939,male,2.8,33.0,2.79
9105,male,3.1,41.0,2.75
9046,male,4.0,34.0,2.73
3119,male,3.4,37.0,2.71
2778,male,3.3,43.0,2.7
11151,male,3.6,39.0,2.62
10395,male,3.9,42.0,2.6
18706,female,3.9,47.0,2.59
3222,male,3.7,39.0,2.55
3433,male,3.3,34.0,2.45
21616,male,4.0,37.0,2.44
2317,male,2.6,35.0,2.43
19739,male,3.5,40.0,2.43
4231,male,3.7,37.0,2.39
16261,male,3.7,47.0,2.36
20614,male,3.6,45.0,2.33
4786,female,4.0,43.0,2.32
8898,male,3.5,43.0,2.32
11726,female,4.0,41.0,2.3
10059,male,3.0,40.0,2.29
3883,male,3.5,37.0,2.29
12433,female,3.2,33.0,2.29
16781,male,2.5,33.0,2.28
16294,male,3.4,43.0,2.28
92,male,3.3,35.5,2.26
326,male,3.8,40.0,2.25
21455,male,3.5,40.0,2.25
4370,female,3.1,47.0,2.24
18803,male,3.2,47.0,2.23
2643,female,3.6,33.0,2.23
17441,female,4.0,40.0,2.23
8189,male,3.9,40.0,2.22
15123,female,2.7,37.0,2.22
10825,male,3.9,37.0,2.22
3195,male,4.1,36.0,2.21
7259,male,3.6,27.5,2.21
10509,male,3.7,46.0,2.2
1602,female,3.3,48.0,2.18
17991,female,3.3,47.0,2.18
15361,female,3.5,40.0,2.17
18568,female,3.4,38.0,2.16
8455,female,3.8,35.5,2.16
3975,female,3.3,33.0,2.15
8332,female,2.9,36.0,2.15
1202,female,3.3,37.0,2.15
8258,female,3.4,39.0,2.14
11559,female,2.5,36.5,2.13
21789,male,4.0,36.0,2.12
20125,female,3.8,36.0,2.12
12551,male,3.9,43.0,2.11
20823,male,3.6,43.0,2.11
17984,female,3.8,42.0,2.1
6912,female,3.0,37.0,2.1
1078,male,3.5,31.5,2.1
7872,male,3.5,45.0,2.09
1696,female,3.5,48.0,2.08
17005,female,3.4,35.0,2.08
1698,male,3.7,39.0,2.08
15576,male,3.8,47.0,2.08
14479,female,4.0,42.0,2.08
15842,female,3.4,48.0,2.08
4504,male,3.0,41.0,2.06
2694,female,3.5,39.0,2.06
20580,male,3.7,33.0,2.06
6596,female,2.6,32.5,2.05
6901,male,3.2,34.0,2.05
3755,male,3.6,37.0,2.05
1934,female,3.4,42.0,2.04
2121,female,3.1,46.0,2.03
2353,male,3.6,43.0,2.03
6975,female,4.0,42.0,2.02
13016,female,4.0,41.0,2.02
14942,female,3.9,46.0,2.02
18476,female,2.9,39.0,2.01
19786,female,3.1,36.0,2.01
14348,female,3.7,37.0,2.0
16692,male,3.1,48.0,1.99
2829,female,3.2,41.0,1.99
17840,male,3.1,33.0,1.98
11740,female,3.3,42.0,1.98
9972,female,3.2,34.0,1.97
11947,female,3.2,35.0,1.97
3500,female,3.0,39.0,1.97
14745,male,3.7,45.0,1.96
21747,female,3.3,40.0,1.96
9566,female,2.9,40.0,1.96
1756,male,4.0,39.5,1.96
910,female,3.5,37.0,1.95
307,female,3.3,40.5,1.95
7453,male,4.0,42.0,1.95
7376,female,3.9,42.0,1.95
9799,male,3.7,37.0,1.94
11101,male,3.5,48.0,1.94
5815,female,3.7,47.0,1.94
3842,male,3.7,38.0,1.93
19860,female,3.4,43.0,1.93
14497,female,3.8,39.0,1.92
2227,male,3.2,38.0,1.92
12746,female,2.8,34.0,1.92
8605,female,3.8,36.0,1.91
20817,female,4.0,48.0,1.91
4622,female,2.4,47.0,1.91
13099,male,3.9,37.0,1.91
15410,female,2.9,38.0,1.9
21250,male,3.5,41.0,1.9
19061,male,3.6,40.0,1.9
14381,male,3.9,36.0,1.9
8328,male,3.9,47.0,1.89
1270,female,3.5,34.5,1.89
2427,female,3.5,37.0,1.89
13499,male,2.8,42.0,1.88
5803,female,3.4,42.0,1.88
4961,female,2.7,37.0,1.88
4724,female,3.5,34.0,1.88
19605,male,3.7,41.0,1.88
4973,female,1.5,44.0,1.88
431,female,3.6,44.0,1.88
18506,male,4.0,42.0,1.88
17783,female,3.2,35.5,1.87
17781,female,3.2,37.0,1.87
13474,female,3.4,43.0,1.85
18341,female,3.4,40.0,1.85
20426,male,3.9,45.0,1.85
17969,female,3.6,37.0,1.85
4758,female,3.1,40.0,1.85
15043,female,3.2,34.0,1.85
16158,female,3.9,47.0,1.84
8380,female,3.6,46.0,1.84
7477,female,3.1,43.0,1.83
2794,male,3.8,46.0,1.83
12438,female,3.2,29.0,1.82
3720,female,3.2,34.5,1.82
15330,female,3.0,26.7,1.82
12028,female,3.7,32.0,1.81
20916,female,3.7,41.0,1.81
