Run,Kendall Tau,NDKL,Average Exposure
0,1.0,0.16095992550229837,0.7501304527906257
1,0.8138775510204082,0.1699965034362751,0.7379887588834354
2,0.9885714285714285,0.10273881207275783,0.8303611781877664
3,0.9477551020408164,0.14689985796729835,0.7539191847560224
4,0.8857142857142857,0.11273257176091357,0.807406463014029
5,0.9951020408163266,0.18195172537152896,0.7626698058148805
6,0.9673469387755103,0.18524686975005103,0.7818408604715817
7,0.9608163265306122,0.13066216859891847,0.7905675248215823
8,0.9608163265306122,0.1676519528709844,0.7378678623845032
9,0.9657142857142857,0.11401056792455304,0.8116695683306759
