Run,Kendall Tau,NDKL,Average Exposure
0,0.9085714285714286,0.09741985790288592,0.8653399981203536
1,0.7942857142857143,0.05747242302940194,0.9410308250488916
2,1.0,0.1012229896203949,0.8478846860354657
3,0.9395918367346939,0.10346444846253708,0.903815133969748
4,0.8057142857142857,0.09832287410313198,0.910566985663261
5,0.8253061224489796,0.059314836948410075,0.94958333593566
6,0.6979591836734694,0.09756474578819471,0.9018843137490704
7,0.9836734693877551,0.13318049621262645,0.7819822073790206
8,0.913469387755102,0.0957849754999309,0.8745655131150938
9,0.8171428571428572,0.10000993531190182,0.8510546849561778
