Run,Kendall Tau,NDKL,Average Exposure
0,0.8497959183673469,0.10470857410260416,0.843403825772956
1,0.923265306122449,0.1620982513770635,0.7523655688965758
2,0.9885714285714285,0.13403503758407928,0.810470918656133
3,0.6669387755102041,0.13314583458185875,0.8713047383387413
4,0.7583673469387755,0.1784757302858497,0.769564050120702
5,0.84,0.14274851501596467,0.7871344293430141
6,0.8367346938775511,0.13497346820297912,0.7686153798620962
7,0.923265306122449,0.13428462454259063,0.7821308677050121
8,0.9575510204081633,0.10293088798662493,0.8381534693945041
9,0.8710204081632653,0.1447039087561785,0.7669951789975163
